"Excedrin Migraine for Migraine Relief, Caplets, 24 count",10294266,"Active Ingredients: (in each GelTab) Acetaminophen 250 mg - Pain reliever. Aspirin 250 mg (NSAID*) - Pain reliever. Caffeine 65 mg - Pain reliever aid. *nonsteroidal anti-inflammatory drug; Inactive Ingredients: Benzoic acid, D&C yellow #10 aluminum lake, edetate disodium, FD&C blue #1, FD&C blue #1 aluminum lake, FD&C red #40 aluminum lake, gelatin, glycerin, hypromellose, iron oxide black, isopropyl alcohol, lactose monohydrate, light mineral oil, low-substituted hydroxypropyl cellulose, maltitol syrup, medium-chain triglycerides, microcrystalline cellulose, pepsin, polysorbate 20, povidone, propyl gallate, propylene glycol, simethicone, sorbitan monolaurate, stearic acid, titanium dioxide."
Aspercreme Pain Relieving Creme With Lidocaine (2.7 Oz),44395885,Lidocaine HCl 4%
"MaxKare Extra Large Weighted Heating Pad 33"" X 18"", 6 Heating Levels & 3 Time Settings for Back Neck Shoulder Pain Relief - Light Blue",1836308250,
"Anbesol Liquid Maximum Strength, Instant Oral Pain Relief, 0.41 oz.",629900867,"Active Ingredients: Benzocaine 20% Oral anesthetic; Inactive Ingredients: Benzyl Alcohol, D&C Yellow No. 10, FD&C Blue No. 1, FD&C Red No. 40, Methylparaben, Natural and Artificial Flavor, Polyethylene Glycol, Propylene Glycol, Saccharin."
"Equate Low Dose Chewable Aspirin 81 mg Tablets, Cherry Flavor, 36 Count, 3 Pack",47064552,"Active ingredient (in each chewable tablet): Aspirin 81 mg (NSAID*) *nonsteroidal anti-inflammatory drug. Inactive ingredients: corn starch, D&amp;C red #27 aluminum lake, dextrose excipient, FD&amp;C red #40 aluminum lake, flavors, saccharin sodium."
"Thermophore Maxheat Arthritis Pad Moist Heating Pad Size Large 14"" X 27"" - Model 155",618727586,
"Equate Extra Strength Acetaminophen Pain Relief Liquid, Cherry Flavor, 500 mg, 8 fl oz",27830493,"Active ingredient (in each 15 mL, 1 tablespoon): Acetaminophen 500 mg. Inactive ingredients: citric acid, D&C red 33, FD&C red 40, flavor, high fructose corn syrup, polyethylene glycol, propylene glycol, purified water, saccharin sodium, sodium benzoate, sorbitol. Each 15 mL contains: Sodium 9 mg."
Heating Pad for Menstrual Cramps Relief Portable Cordless Heating Pad for Stomach Back Belly Pink,1881880791,
"Equate Capsaicin Pain Relieving Patch, XL",927644319,
"Salonpas Lidocaine Plus Roll-On, 3 fl oz",706855157,"Active Ingredients: Benzyl Alcohol (10%), Lidocaine HCl (4%), Purpose: Topical Anesthetic, Topical Anesthetic, Inactive Ingredients: Aloe Barbadensis Leaf Juice, Aminomethyl Propanol, Carbomer, SD Alcohol 40-B, Water"
Icy Hot Maximum Strength Muscle & Joint Pain Relief Numbing Back Patch with Lidocaine 5ct,873411079,"Active Ingredients: Lidocaine (4%), Menthol (1%). Purpose: Topical Anesthetic, Topical Anesthetic. Inactive Ingredients: Aluminum Glycinate, Aluminum Hydroxide, Cellulose Gum, Glycerin, Methylparaben, PEG-40 Hydrogenated Castor Oil, Polyacrylic Acid, Polysorbate 80, Propylene Glycol, Ricinus Communis (Castor) Seed Oil, Silica, Sodium Polyacrylate, Tartaric Acid, Titanium Dioxide, Urea, Water."
"Vicks Vapocool Severe Medicated Sore Throat Drops, Menthol, Winterfrost Flavor, 45 Ct",419287194,"Active Ingredient: Menthol 20 mgInactive Ingredients: Corn Syrup, Eucalyptol, FD&C Blue No, 1, Flavors, Glycerin, Gum Arabic, Potassium Sorbate, Sucrose, Water"
"Tylenol PM Extra Strength Pain Reliever & Sleep Aid Caplets, 150 ct",54061719,"Active ingredients (in each caplet)Acetaminophen 500 mgDiphenhydramine HCl 25 mgPurposePain relieverNighttime sleep aidInactive ingredients: carnauba wax, crospovidone, FD&C blue no. 1 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polysorbate 80, povidone, pregelatinized starch, sodium starch glycolate, stearic acid, titanium dioxide"
"Tylenol Sinus + Headache Non-Drowsy Daytime Caplets, 24 Ct",21832047,"Active Ingredients (in each caplet) PurposeAcetaminophen 325 mg........................................Pain reliever/fever reducerPhenylephrine HCl 5 mg.......................................Nasal decongestantInactive Ingredients: Anhydrous citric acid, carnauba wax, D&C yellow no. 10 aluminum lake, FD&C blue no. 1 aluminum lake, FD&C red no. 40 aluminum lake, flavors, hypromellose, magnesium stearate, microcrystalline cellulose, modified starch, polyethylene glycol, polysorbate 80, potassium sorbate, powdered cellulose, pregelatinized starch, sodium benzoate, sodium citrate, sodium starch glycolate, sucralose, titanium dioxide"
"Tylenol Sinus Severe Non-Drowsy Day Cold & Flu Relief Caplets, 24 ct",20886516,"Active Ingredients (in each caplet) PurposeAcetaminophen 325 mg..................................Pain reliever/fever reducerGuaifenesin 200 mg.........................................ExpectorantPhenylephrine HCl 5 mg.................................Nasal decongestantInactive Ingredients carnauba wax, croscarmellose sodium, flavor, hydroxypropyl cellulose, hypromellose, magnesium stearate, microcrystalline cellulose, pregelatinized starch, sucralose, titanium dioxide, triacetin"
"Equate Adult Low Dose Aspirin Safety Coated Tablets, 81 mg, 500 Count",40816797,
"ThermaCare Neck Pain Therapy, Shoulder, and Wrist Pain Relief Patches, Heat Wraps, 4 Ct",1654290325,
"Infants' Motrin Concentrated Drops, Fever Reducer, Ibuprofen, Berry Flavored.5oz",893336,"Active Ingredient (in each 1.25 mL): Ibuprofen 50 mg (NSAID)* *nonsteroidal anti-inflammatory drugInactive Ingredients: anhydrous citric acid, caramel, FD&C red no. 40, flavors, glycerin, polysorbate 80, pregelatinized starch, purified water, sodium benzoate, sorbitol solution, sucrose, xanthan gum"
"Aleve Tablets Easy Open Arthritis Cap Naproxen Sodium Pain Reliever, 200 Count",576115402,"Each tablet contains: Naproxen Sodium 220mg, FD&C blue #2 lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, povidone, talc, titanium dioxide"
"Dramamine All Day Less Drowsy, Motion Sickness Relief, 8 Count",23569861,"In Each Tablet: Corn Starch, Colloidal Silicon Dioxide, D&C Yellow 10 Aluminum Lake, Lactose, Magnesium Stearate, Microcrystalline Cellulose.In Each Tablet: Meclizine HCl (25 mg), Antiemetic."
"Goody's Back and Body Pain Relief Powder, 24 Powder Sticks",23619915,"Active Ingredients (in each powder) Acetaminophen 325mg...Pain Reliever/Fever Reducer, Aspirin (NSAID*) 500mg...Pain Reliever/Fever Reducer, *Nonsteroidal Anti-Inflammatory Drug; Inactive Ingredients Lactose Monohydrate, Potassium Chloride."
"Boiron Oscillococcinum Homeopathic Medicine for Flu-Like Symptoms, 30 Doses",20526292,"Active Ingredient**PurposeAnas barbariae 200CK HPUSTo reduce the duration and severity of flu-like symptomsThe letters HPUS indicate that this ingredient is officially included in the Homeopathic Pharmacopoeia of the United States.Inactive Ingredients: Lactose, sucroseEach 0.04 oz dose (1 g) contains 1 g of sugar.**C, K, CK, and X are homeopathic dilutions"
"Motrin IB, Ibuprofen 200mg Tablets for Pain & Fever Relief, 50 Ct",10294201,"Active ingredient (in each caplet)       PurposesIbuprofen 200 mg (NSAID*)..........Pain reliever/fever reducer*nonsteroidal anti-inflammatory drugInactive ingredients Colloidal silicon dioxide, corn starch, croscarmellose sodium, FD&amp;C red no. 40 aluminum lake, FD&amp;C yellow no. 6 aluminum lake, iron oxides, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, stearic acid, talc, titanium dioxide"
"AZO Bladder Control with Go-Less Daily Supplement, Helps Reduce Occasional Urgency* and Leakage†††, 54 Count Capsules",36214488,"Capsule (gelatin, titanium dioxide [color], caramel [color], maltodextrin, dicalcium phosphate, microcrystalline cellulose, magnesium stearate, silicon dioxide.Contains: Soy.AZO bladder control® does not contain synthetic colors, flavors, yeast or gluten."
"Advil Liqui-Gels Solubilized Ibuprofen Capsules, 100 Count",131747241,
Advil Dual Action Back Pain Caplets Delivers 250Mg Ibuprofen and 500Mg Acetaminophen Per Dose for 8 Hours of Back Pain Relief - 18 Count,1791328651,"In Each Caplet: Active Ingredients: Acetaminophen (250 mg), Pain Reliever; *Ibuprofen (NSAID) (125 mg), Pain Reliever. Inactive Ingredients: Carnauba Wax, Colloidal Silicon Dioxide, Croscarmellose Sodium, Ferric Oxides, Glyceryl Dibehenate, Hypromellose, Pharmaceutical Ink, Polydextrose, Polyethylene Glycol, Pregelatinized Starch, Titanium Dioxide. *Nonsteroidal Anti-Inflammatory Drug."
"Equate Diclofenac Sodium Arthritis Pain Reliever Gel, 1.7 oz",203068909,"Active Ingredient: Diclofenac sodium (NSAID*) 1% (equivalent to 0.93% diclofenac). Inactive Ingredients: carbomer homopolymer Type C, cocoyl caprylocaprate, fragrance, isopropyl alcohol, mineral oil, polyoxyl 20 cetostearyl ether, propylene glycol, purified water, strong ammonia solution"
"Miracle Headache Relief Cap, Cooling and Compression Relief for Headaches, 360 Degree Head Coverage",1555546315,Gel Compression Head Wrap; Use Hot or Cold; One Size Fits All
"Children's Sudafed PE Cold + Cough Suppressant, Cold Medicine & Nasal Decongestant, Grape Flavor Liquid Cough Relief, 4 fl. oz",12167243,"Active Ingredients: (in each 5 mL) Dextromethorphan HBr 5 mg (cough suppressant) Phenylephrine HCl 2.5 mg (nasal decongestant) Inactive Ingredients: Anhydrous citric acid, carboxymethylcellulose sodium, edetate disodium, FD&C blue no. 1, FD&C red no. 40, flavors, glycerin, purified water, sodium benzoate, sodium citrate, sorbitol solution, sucralose"
"Motrin IB Liquid Gels, Ibuprofen 200 mg, Pain & Fever Relief, 80 Ct",43174859,"Active Ingredient (in each capsule) (Purposes)Solubilized ibuprofen equal to 200 mg ibuprofen (NSAID*) (Pain reliever/fever reducer) (present as the free acid and potassium salt)*nonsteroidal anti-inflammatory drugInactive ingredientsgelatin, pharmaceutical ink, polyethylene glycol, potassium hydroxide, purified water, sorbitan and sorbitol"
"""Icy Hot Extra Strength Medicated Patch, Small, 5-Count Boxes (Pack of 3)""",419018143,
"Midol Heat Vibes Long Lasting Therapeutic Pain Relief Patch, 3 Count",249130683,"iron powder, water, activated carbon, sodium chloride, sodium polyacrylate, quartz monzonite powder, vermiculite, silicon dioxide"
"Preparation H Witch Hazel Hemorrhoid Relief Flushable Medicated Wipes, 10 Count",16940599,"Active Ingredients: Witch Hazel 50% - Astringent.; Inactive Ingredients: Aloe Barbadensis Leaf Juice, Anhydrous Citric Acid, Capryl/Capramidopropyl Betaine, Diazolidinyl Urea, Glycerin, Methylparaben, Propylene Glycol, Propylparaben, Purified Water, Sodium Citrate."
"MagniLife Leg & Back Pain Relief Quick Dissolving Tablets, 125 Count",46280773,"Active Ingredients: In Each Tablet: Capsicum Annuum 6X HPUS, Colocynthis 6X HPUS, Gnaphalium Polycephalum 6X HPUS, Magnesia Phosphorica 6X HPUS. Purpose: For Pain from Hips to Feet, for Pain from Hip to Knee; for Leg Pain, Pain Reliever, for Lower Back Pain. Inactive Ingredients: Lactose, Magnesium Stearate, Microcrystalline Cellulose."
Aleve PM Pain Reliever & Nighttime Sleep Aid Caplets â 50 Count,593626633,"Each caplet contains: DIPHENHYDRAMINE HYDROCHLORIDE 25mg, NAPROXEN SODIUM 220mg, carnauba wax, FD&C blue #2 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, povidone, purified water, talc, titanium dioxide."
"Advil (225 Count) Pain Reliever / Fever Reducer Coated Tablet, 200mg Ibuprofen, Temporary Pain Relief",37602434,"Active Ingredients: In Each Tablet: Ibuprofen (200 mg) (NSAID).  Purpose: Pain Reliever/Fever Reducer, Nonsteroidal Anti-Inflammatory Drug.  Inactive Ingredients: Acetylated Monoglycerides, Colloidal Silicon Dioxide, Corn Starch, Croscarmellose Sodium, Methylparaben, Microcrystalline Cellulose, Pharmaceutical Glaze, Pharmaceutical Ink, Povidone, Pregelatinized Starch, Propylparaben, Sodium Benzoate, Sodium Lauryl Sulfate, Stearic Acid, Sucrose, Synthetic, Iron Oxide, Titanium Dioxide, White Wax."
"Vicks VapoCool Severe Medicated Sore Throat Drops, Menthol, Over-the-Counter Medicine, Cherry, 45 Ct",120449746,"Active Ingredient (per drop): Menthol 20 Mg (Oral Anesthetic)Inactive Ingredients: Corn Syrup, FD&C Blue No, 1, FD&C Red No, 40, Flavors, Sucrose, Water"
"Equate Walker Tennis Balls, 2 Count",1120338,
"Absorbine Jr. Pro Max Strength Lidocaine Cream, Maximum Strength Numbing Pain Relief with Phenol, 3oz",1710700280,For the temporary relief of pain.
"Equate Pain Relief Powders, Aspirin 845 mg and Caffeine 65 mg, 50 Count",1746131387,"Aspirin, Caffeine"
"XXX-Large Heating Pad for Fast Pain Relief, VIPEX [33'' x 17''] Ultra Soft Electric Heating Pad with 6 Heat Settings, Auto Off, Moist & Dry Heat Therapy for Neck Back Shoulder Relief and Cramps",902424531,
"Welmate Lidocaine 4% Pain Relieving Patch - Neck, Shoulder, Back Pain Relief - 15 Count",1082839386,
Aspercreme Maximum Strength Muscle & Joint Pain Relief Numbing Cream with Lidocaine for Foot Pain 4oz,262621739,Lidocaine Hcl 4%
"AleveX Pain Relieving Spray, Topical Pain Reliever, 3.2oz",187276078,"Camphor 5.5% & Menthol 16%. Inactive ingredients: boswellia carterii oil, clove oil, dimethylaminoetyyl methacrylate copolymer, dimethyl isosorbide, eucalyptus oil, fragrance, isobutate, isopentane, isopulegol, linseed oil, menthoxypropanediol, peppermint oil, propanediol, rosemary oil, SD alcohol 40-B (13% v/v), thumus mastichina flower oil, tocopherol, vanillyl butlyl ether, vinyl caprolactam, vinylpyrrolidone"
"Dramamine Original, Motion Sickness Relief, 36 Count",48319308,"In Each Tablet: Colloidal Silicon Dioxide, Croscarmellose Sodium, Lactose, Magnesium Stearate, Microcrystalline Cellulose.In Each Tablet: Dimenhydrinate (50 mg), Antiemetic."
"Equate Reusable Cold Therapy Ice Bag, 9""",872328,
Maximum Strength MUCINEX FAST-MAX DM Max & MUCINEX Nightshift Cold & Flu Liquid Combo (2 x 6 fl. oz.),653688588,ACTIVE INGREDIENT(S); (in each 20 mL); Maximum Strength Mucinex Fast Max DM Max; Dextromethorphan HBr 20 mg Purpose(s) Cough suppressant; Guaifenesin 400 mg Purpose(s) Expectorant;ACTIVE INGREDIENTS; (in each 20 mL); MUCINEX® Nightshift® Cold & Flu; Acetaminophen 650 mg Purpose(s) Pain reliever/fever reducer; Dextromethorphan HBr 20 mg Purpose(s) Cough suppressant; Triprolidine HCl 2.5 mg Purpose(s) Antihistamine
Flanax Pain Reliever/Fever Reducer Tablets - 24 Tablets,25565577,"Active Ingredients: (In Each Tablet): Naproxen Sodium (220 mg) (Naproxen 200 mg) (NSAID). Purpose: Reliever/Fever Reducer, Nonsteroidal Anti-Inflammatory Drug. Inactive Ingredients: Croscarmellose Sodium, FD&C Blue 2 Aluminum Lake, Magnesium Stearate, Microcrystalline Cellulose, Polyethylene Glycol, Polyvinyl Alcohol, Povidone, Silicon Dioxide, Talc Titanium Dioxide."
"Maximum Strength Mucinex Fast-Max Day Cold & Flu & Nightshift Night Severe Cold & Flu All In One, Fast Release, Powerful Multi-Symptom Relief, 20 caplets (12 Day time + 8 Night time)",432331691,"Active Ingredients: DAY: Acetaminophen (325 mg), Dextromethorphan HBr (10 mg), Guaifenesin (200 mg), Phenylephrine HCI (5 mg), NIGHT: Acetaminophen (325 mg), Dextromethorphan HBr (10 mg), Phenylephrine HCI (5 mg),Triprolidine HCI (1.25 mg) … Inactive Ingredients: DAY: croscarmellose sodium, crospovidone, FD&C red no. 40 aluminum lake, FD&C yellow no. 6 aluminum lake, magnesium stearate, microcrystalline cellulose, polyethylene glycol, polyvinyl alcohol, povidone, talc, titanium dioxide, NIGHT: croscarmellose sodium, crospovidone, ferric oxide, hydroxypropyl cellulose, polyvinyl alcohol polyethylene glycol copolymer, mica, microcrystalline cellulose, polyvinyl alcohol, povidone, silicon dioxide, stearic acid, talc, titanium dioxide"
"AleveX Pain Relieving Lotion, Pain Reliever, 2.7oz",876254094,"Camphor 5.5% & Menthol 16%. Inactive ingredients: aminomethyl propanol, boswellia carterii oil, carbomer interpolymer, clove oil, edetate disodium, eucalyptus oil, fragrance, glycerin, isopulegol, linseed oil, menthoxypropanediol, pentylene glycol, peppermint oil, polysorbate 80, purified water, rosemary oil, SD alcohol 40-B (20.9% v/v), sorbitan monooleate, thumus mastichina flower oil, tocopherol, vanillyl butlyl ether"
"Vicks VapoPatch, Non-Medicated Wearable Arome Patch, Long Lasting Soothing Vicks Vapors, 5 Ct",490539249,"Zea Mays (Corn) Starch, Alcohol, PVP, Menthol, Eucalyptus Globulus Leaf Oil, Camphor, Myristica Fragrans (Nutmeg) Kernel Oil, Thuja Occidentalis Leaf Oil, Sodium Potassium Aluminum Silicate, Thymol, Denatonium Benzoate"
"Infants' Tylenol Pain & Fever Dye-Free Cherry Flavor Oral Suspension, 2 Fl. Oz.",738891725,Read Label
"Biofreeze Precision Relief Pen 1.15 Fl. OZ Powerful Topical Pain Reliever For Aches And Pains Of Muscles And Joints From Simple Backache, Arthritis, Strains, Bruises, and Sprains (Packaging May Vary)",410126340,"Active: Menthol 10.5% - Pain Relieving Liquid;Inactive: Alcohol Denat., Arnica Montana Flower Extract, Calendula Officinalis Flower Extract, Camellia Sinensis Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Dimethyl Sulfone (MSM), Echinacea Angustifolia Extract, Ilex Paraguariensis Leaf Extract, Isopropyl Myristate, Juniperus Communis Fruit Extract, Water"
"Heating Pad, Sable Electric Fast-Heating Pad for Back Pain and Cramps, Ultra-Soft, 12""x24"", Blue, FSA-Eligible",210446289,
Biofreeze Biofreeze Professional Colorless 3oz Roll-On 3PK Pain Relief Arthritis Fast-Acting,146359286,
Tiger Balm Pain Relieving Large Patch - 4 Ct,26971670,"Drug Facts Active Ingredients Purpose Camphor 230 mg/patch Topical analgesic Menthol 70 mg/patch Topical analgesic Inactive Ingredients: Capsicum Extract, Eucalyptus Oil, Glycerin Mentha Oil, Polyacrylic Acid, Polysorbate 80, Sodium Carboxymethylcellulose, Sodium Polyacrylate, Sodium Monooleate, Sorbitol, Tartaric Acid, Water"
"Tylenol Extra Strength Acetaminophen 500 mg, 325 Caplets",477636206,"Tylenol Extra Strength Caplets, 500mg"
"Advil PM (30 Count) Pain Reliever / Nighttime Sleep Aid Caplet, 200mg Ibuprofen, 38mg Diphenhydramine",112633559,
2 Pack Salonpas Deep Pain Relieving Gel Fast Relief for Minor Aces and Pains 2.75oz Each,164968781,
"Geri-Care Stool Softener Softgels - Extra Strength Docusate Sodium, 250 mg, 1 Bottle,  100 per Bottle",112418474,Docusate Sodium
"Sunbeam® Heating Pad 12"" x 24"" King Size, Green",2779984870,
"Vanishing Scent Bengay Non-Greasy Pain Relief Gel, 2 oz",301543292,"Active ingredient Menthol 2.5% Purpose Topical analgesic Inactive ingredients camphor, carbomer, DMDM hydantoin, isoceteth-20, isopropyl alcohol, PEG-40 hydrogentated castor oil, sodium hydroxide, water"
"Mars Wellness MG+ Pain Cream - Extra Strength Magnesium and Arnica Cream - 4 OZ Tub - Sore Legs and Joints, Leg Cramps, Sports and Arthritis Pain Rub",440674393,
"Mineral Ice Therapeutic Pain Relieving Soothing Gel, 8 oz",10294276,"Active Ingredient Menthol 2 Inactive Ingredients Ammonium Hydroxide, Carbomer, Cupric Sulfate, FD C Blue 1, Isopropyl Alcohol, Magnesium Sulfate, Sodium Hydroxide, Thymol, Water"
Tiger Balm White Ointment 21 ml,170092984,
"Smart Cold Sore Treatment Patch 48 Ct | Help Prevent Breakouts, Soothe Itching and Burning | Discrete, Invisible, Skin Safe Adhesive",519410476,Hydrocolloid
"Midol Complete On The Go, For Relief of Menstrual Pain, 25 Pouches",700743126,"Active ingredients (in each caplet): Acetaminophen 500 mg, Caffeine 60 mg, Pyrilamine maleate 15 mg; Inactive Ingredients: carnauba wax, croscarmellose sodium, FD&C blue #2 aluminum lake, hypromellose, magnesium stearate, microcrystalline cellulose, pregelatinized starch, propylene glycol, shellac, titanium dioxide, triacetin"
"The Original Bed Buddy Deep Soothing Thermatherapy Body Wrap, 1.0 CT",6537522,
"Motrin Arthritis Pain Relief Diclofenac Sodium Topical Gel 1%, 3.53oz",500241299,"Active ingredientDiclofenac sodium (NSAID*) 1% (equivalent to 0.93% diclofenac)  *nonsteroidal anti-inflammatory drugPurposeArthritis pain relieverInactive ingredientsCarbomer homopolymer Type C, cocoyl caprylocaprate, isopropyl alcohol, mineral oil, polyoxyl 20 cetostearyl ether, propylene glycol, purified water, strong ammonia solution"
"Aleve Headache Pain Reliever Naproxen Sodium Tablets, 90 Count",171547127,"Each tablet contains: Naproxen Sodium 220mg, FD&C blue #2 lake, hypromellose, magnesium stearate, microcrystalline cellulose, polyethylene glycol, povidone, talc, titanium dioxide"
Aspercreme Maximum Strength Arthritis Pain Relief Anti-Inflammatory Gel with Diclofenac 100g,214167251,"Active Ingredients: Diclofenac Sodium (NSAID (Nonsteroidal Anti-Inflammatory Drug)) (Equivalent to 0.93% Diclofenac) (1 %). Purpose: Arthritis Pain Reliever., Nonsteroidal Anti-Inflammatory Drug. Inactive Ingredients: Carbomer Homopolymer Type C, Cocoyl Caprylocaprate, Fragrance, Isopropyl Alcohol, Mineral Oil, Polyoxyl 20 Cetostearyl Ether, Propylene Glycol, Purified Water, Strong Ammonia Solution"
"Sunbeam Advanced Heat 12"" x 15"" Standard-Sized Heating Pad for Joint Pain Relief, Black",505607242,
"Biofreeze Professional Menthol Pain Relieving Gel 32 FL OZ Bottle With Pump For Pain Relief Of Sore Muscles, Arthritis, Backache, And Joint Pain, Original Green Formula (Packaging May Vary)",873497684,"Active: Menthol 5% - Pain Relieving Gel;Inactive: Aloe Barbadensis Leaf Extract, Arctium Lappa Root (Burdock) Extract, Arnica Montana Flower Extract, Blue 1, Boswellia Carterii Resin Extract, Calendula Officinalis Extract, Camellia Sinensis Leaf Extract, Carbomer, Glycerin, Ilex Paraguariensis Leaf Extract, Isopropyl Alcohol, Isopropyl Myristate, Melissa Officinalis (Lemon Balm) Leaf Extract, Silica, Tocopheryl Acetate, Triethanolamine, Water, Yellow 5"
ASP COLD DAY NIGHT TAEF 24S,2742094752,TBD
Pack of 150,1124634179,
Herbal Tinnitus Patch Ear Relief Medical Plaster Prevent Hearing Loss. I9Z9,1401889332,
Cura-Heat Heat Packs 3 Each (Pack of 4),718165932,
2PCS Gel Cold Therapy Headache Migraine Relief Stress Pressure Pain Relief Massage Cap For Chemo Sinus Neck Wearable Therapy Wrap,1692656413,
"Ymiko Heating Pad 12V Soft Texture Quick Heating Easy Washable Large Heating Pad For Home Car Chair,Large Heating Pad,Hot Pad",1692541974,
"AZO Vaginal Health Probiotic Supplement Capsules for Female Balance, 14 Ct",982561196,"Ntelliflora™ Blend, Lactobacillus crispatus LBV 88, Lactobacillus rhamnosus LBV 96, Lactobacillus gasseri LBV 150N, Lactobacillus Jensenii LBV 116, Microcrystalline Cellulose, Hydroxypropyl Methylcellulose, Fructooligosaccharides, Magnesium Stearate, Titanium Dioxide (color), Caramel (color)"
"PREPARATION H Rapid Relief with Lidocaine Hemorrhoid Symptom Treatment Cream, Numbing Relief for Pain, Burning and Itching, Reduces Swelling, Tube (1.0 Ounce)",595710974,"Active Ingredients: Glycerin, 14.4% - Protectant; Lidocaine, 5% - Local Anesthetic; Phenylephrine HCl, 0.25% - Vasoconstrictor; White Petrolatum, 15% - Protectant; Inactive Ingredients: Aloe Barbadensis Leaf Extract, Anhydrous Citric Acid, Butylated Hydroxyanisole, Carboxymethylcellulose Sodium, Cetyl Alcohol, Citric Acid Monohydrate, Dexpanthenol, Edetate Disodium, Glyceryl Monostearate, Methylparaben, Mineral Oil, Polyoxyl Lauryl Ether, Polyoxyl Stearyl Ether, Propyl Gallate, Propylene Glycol, Propylparaben, Purified Water, Stearyl Alcohol, Tocopherols Excipient, Vitamin E Acetate, White Petrolatum, Xanthan Gum."
Cold Therapy Pain Relief Biofreeze PharmacopeiaMenthol Arnica Extract and Aloe RollOn 3 oz,496407289,Menthol
"Basic Vigor Vertigo Ease Roll-On, Essential Oil Blend for Vertigo Relief, Dizziness, Tinnitus, etc. (10ml)",893832133,"Pure  Lavender, Frankincense, Ginger, Peppermint, and Sweet Orange Essential Oils in a base of Fractionated Coconut Oil."
Hyland's Leg Cramps Ointment 2.50 oz,698388354,
"Biofreeze Pain Reliever Gel for Muscle, Joint, Arthritis, & Back Pain, Cooling Topical Analgesic, NSAID Free Pain Relief, 8 oz Bottle with Pump, Original Green Formula, 4% Menthol",165593681,"Active: Menthol 4% - Pain Relieving Gel;Inactive: Aloe Barbadensis Leaf Extract, Arctium Lappa Root (Burdock) Extract, Arnica Montana Flower Extract, Blue 1, Boswellia Carterii Resin Extract, Calendula Officinalis Extract, Camellia Sinensis Leaf Extract, Camphor, Carbomer, Glycerin, Ilex Paraguariensis Leaf Extract, Isopropyl Alcohol, Isopropyl Myristate, Melissa Officinalis (Lemon Balm) Leaf Extract, Silica, Tocopheryl Acetate, Triethanolamine, Water, Yellow 5"
"Preparation H Totables Hemorrhoid Symptom Relief Medicated Wipes, 50 Ct",721059451,
KT Tape Recovery+ Pain Relief Cool/Warm Gel Roll-on 3oz,146031180,"Active Ingredients: Camphor (5 %), Tropical Analgesic; Menthol (5 %), Tropical Analgesic. Inactive Ingredients: Arnica Montana Flower Extract, Hamamelis Virginiana (Witch Hazel) Water, Butyrospermum Parkii (Shea Butter) Fruit, Water, Euphorbia Cerifera (Candelilla) Wax, Ammonium Acryloldimethyltaurate/VP Copolymer, Biosaccharide Gum-1, Cellulose, Alcohol, Ethylhexyglycerin, Glycerin, Hydrolyzed Silica, Hydroxypropyl Methylcellulose, Mannitol, Phenoxyethanol, Oleyl Alcohol, Polyglyceryl-10 Caprylate/Caprate, SD Alcohol 40-B, Sodium Starch Octenylsuccinate, Tocopheryl Acetate, Zanthoxylum Bungeanum Fruit Extract."
Roscoe Medical TENS 7000 2nd Edition Digital TENS Unit with Accessories-OTC,563056836,
"Microwavable Heating Pad Wrap for Neck and Shoulders to Relieve Pain, Sore Muscles, Tension",362923800,
Voltaren Arthritis Pain Topical Gel 1% (100g) Over the Counter Anti-Inflammatory Cream for Arthritis Pain,933322144,"Diclofenac sodium in opac, white gel base."
"AZO Maximum Strength Urinary Pain Relief, UTI Pain Reliever, 12 Ct",19867059,"Active Ingredients: (In Each Tablet): Phenazopyridine Hydrochloride (97.5 mg). Purpose: Urinary Tract Analgesic. Inactive Ingredients: Lactose, Magnesium Stearate, Microcrystalline Cellulose, Pharmaceutical Glaze, Sodium Starch Glycolate and Talc."
"Neck Heating Pad Microwavable with Handles, Microwave Heating pad for Neck and Shoulders, Neck Pain, Joints and Muscle Aches, a Warmer Heated Neck Wrap, Reusuable Moist Heat Pack for Pain Relief",344586582,
"Heating Pads for Cramps, Period Heating Pad for Cramps with 3 Heating Levels and 3 Vibration Massage Modes, Heating Pad Ideal Gift for Women and Girls(Deep Blue)",2293968123,
MagnetRX® Magnetic Acupressure Patches - Ultra Strength Magnets for Body  (20 Pack),382348940,
"Bell Horn Fast Freeze Fast Freeze Therapy Roll-on, Over-the-Counter Medicines 3 oz",21108115,"Active Ingredients: Camphor (0.2%), Menthol (3.5%). Inactive Ingredients: Aloe Barbadensis (Aloe Vera) Leaf Extract, Carbomer, Ilex Paraguariensis Leaf Extract, Isopropyl Alcohol, Methylparaben, Tocopherol (Vitamin E) Acetate, Triethanolamine, Water."
Orajel Touch-Free Applicator for Cold Sores 4 Treatment Vials,738943524,
Arthritis Hot Pain Relief Creme 3 oz (Pack of 3),886309790,
TureClos Pet Heat Pad Mat Indoors Warm Electric Heating Pad for Puppy Dogs Cats Waterproof Chew Resistant Temperature Adjustable Pet Heat Mat,823312947,
